TimeSec	Probe1mm	ConductivityP1V	TemperatureP1V
283.099	25.306	-4.915	0.353
283.299	27.421	-4.938	0.335
283.500	29.376	-4.928	0.325
283.599	30.526	-4.927	0.300
283.799	32.530	-4.921	0.321
283.999	34.512	-4.920	0.241
284.199	36.516	-4.544	0.118
284.399	38.541	-4.519	0.034
284.499	39.650	-4.470	0.015
284.699	41.737	-4.476	-0.003
284.899	43.742	-4.442	0.017
285.099	45.732	-4.389	-0.011
285.299	47.734	-4.391	-0.056
285.499	49.747	-4.362	-0.060
285.599	50.918	-4.348	-0.070
285.800	52.846	-4.310	-0.049
285.999	54.855	-4.349	-0.085
286.199	57.020	-4.302	-0.088
286.399	58.893	-4.301	-0.099
286.599	61.028	-4.307	-0.113
286.799	63.062	-4.264	-0.111
286.999	65.090	-4.256	-0.131
287.199	67.163	-4.277	-0.162
287.399	69.188	-4.244	-0.135
287.599	71.133	-4.262	-0.185
287.799	73.290	-4.230	-0.157
287.999	75.187	-4.229	-0.164
288.199	77.197	-4.221	-0.176
288.299	78.352	-4.208	-0.177
288.499	80.237	-4.234	-0.168
288.700	82.265	-4.204	-0.162
288.799	83.432	-4.194	-0.117
288.999	85.370	-4.201	-0.129
289.199	87.457	-4.216	-0.146
289.399	89.482	-4.173	-0.126
289.600	91.424	-4.211	-0.134
289.800	93.456	-4.169	-0.094
289.899	94.633	-4.180	-0.130
290.099	96.522	-4.192	-0.107
290.299	98.677	-4.172	-0.089
290.499	100.720	-4.157	-0.082
290.699	102.625	-4.172	-0.123
290.899	104.769	-4.157	-0.089
291.100	106.806	-4.125	-0.076
291.299	108.722	-4.152	-0.121
291.399	109.848	-4.131	-0.114
291.599	111.951	-4.128	-0.105
291.799	113.956	-4.097	-0.102
291.999	115.921	-4.139	-0.155
292.199	118.014	-4.107	-0.095
292.399	120.015	-4.093	-0.130
292.599	121.990	-4.090	-0.124
292.799	124.140	-4.093	-0.119
293.000	126.153	-4.069	-0.129
293.199	128.239	-4.080	-0.144
293.399	130.090	-4.060	-0.133
293.599	132.136	-4.045	-0.136
293.699	133.312	-4.055	-0.165
293.899	135.260	-4.061	-0.169
294.099	137.288	-4.030	-0.126
294.299	139.289	-4.037	-0.167
294.499	141.401	-4.035	-0.177
294.699	143.404	-4.036	-0.143
294.899	145.349	-4.021	-0.171
295.100	147.429	-3.999	-0.174
295.299	149.457	-4.027	-0.164
295.500	151.447	-3.985	-0.172
295.700	153.638	-4.006	-0.172
295.900	155.593	-4.023	-0.164
296.100	157.677	-3.968	-0.152
296.300	159.659	-3.969	-0.164
296.499	161.797	-4.010	-0.199
296.699	163.703	-3.952	-0.154
296.899	165.690	-3.963	-0.185
296.999	166.853	-3.953	-0.186
297.200	168.876	-3.960	-0.184
297.399	170.882	-3.939	-0.162
297.600	172.995	-3.936	-0.184
297.799	174.856	-3.953	-0.170
298.000	176.999	-3.925	-0.196
298.199	179.082	-3.907	-0.180
298.399	181.049	-3.943	-0.194
298.599	183.026	-3.892	-0.169
298.799	185.119	-3.902	-0.203
298.999	187.099	-3.923	-0.211
299.099	188.232	-3.864	-0.153
299.299	190.141	-3.897	-0.207
299.499	192.225	-3.892	-0.213
299.699	194.304	-3.884	-0.184
299.900	196.290	-3.862	-0.185
300.099	198.257	-3.881	-0.226
300.300	200.339	-3.862	-0.180
300.499	202.303	-3.868	-0.207
300.599	203.452	-3.827	-0.178
300.799	205.365	-3.852	-0.210
300.999	207.499	-3.870	-0.201
301.199	209.440	-3.811	-0.192
301.299	210.553	-3.818	-0.196
301.499	212.537	-3.849	-0.209
301.700	214.683	-3.845	-0.199
301.899	216.706	-3.798	-0.185
302.099	218.671	-3.850	-0.221
302.299	220.756	-3.790	-0.178
302.499	222.745	-3.804	-0.208
302.700	224.701	-3.802	-0.226
302.900	226.786	-3.794	-0.179
303.099	228.801	-3.776	-0.196
303.300	230.968	-3.794	-0.218
303.500	232.927	-3.777	-0.201
303.699	234.891	-3.762	-0.201
303.899	236.959	-3.762	-0.217
304.099	238.943	-3.766	-0.200
304.199	240.091	-3.743	-0.194
304.399	242.098	-3.725	-0.206
304.599	244.102	-3.749	-0.217
304.799	246.136	-3.728	-0.197
304.999	248.194	-3.722	-0.202
305.199	250.133	-3.721	-0.208
305.400	252.360	-3.724	-0.216
305.599	254.221	-3.688	-0.184
305.799	256.244	-3.718	-0.234
306.000	258.301	-3.710	-0.209
306.200	260.343	-3.696	-0.196
306.399	262.350	-3.679	-0.228
306.599	264.383	-3.683	-0.194
306.799	266.416	-3.681	-0.211
306.999	268.542	-3.669	-0.234
307.199	270.599	-3.654	-0.196
307.399	272.601	-3.663	-0.194
307.599	274.596	-3.642	-0.201
307.799	276.631	-3.672	-0.231
307.999	278.616	-3.622	-0.191
308.099	279.769	-3.625	-0.195
308.300	281.772	-3.635	-0.233
308.500	283.743	-3.652	-0.224
308.699	285.838	-3.618	-0.189
308.899	287.849	-3.621	-0.240
309.099	289.825	-3.623	-0.208
309.299	291.953	-3.620	-0.224
309.499	293.962	-3.593	-0.202
309.699	296.033	-3.621	-0.229
309.899	297.955	-3.610	-0.206
310.099	299.957	-3.566	-0.208
310.199	301.127	-3.621	-0.237
310.399	303.030	-3.601	-0.217
310.599	305.177	-3.581	-0.209
310.800	307.228	-3.569	-0.226
311.000	309.125	-3.590	-0.246
311.099	310.241	-3.552	-0.186
311.299	312.212	-3.572	-0.225
311.399	313.325	-3.570	-0.238
311.600	315.297	-3.556	-0.238
311.800	317.389	-3.557	-0.213
312.000	319.379	-3.531	-0.224
312.200	321.351	-3.558	-0.253
312.399	323.441	-3.523	-0.191
312.599	325.434	-3.520	-0.238
312.799	327.607	-3.520	-0.230
312.999	329.511	-3.558	-0.234
313.199	331.580	-3.487	-0.202
313.399	333.573	-3.517	-0.237
313.600	335.650	-3.505	-0.221
313.799	337.684	-3.493	-0.233
313.999	339.743	-3.467	-0.218
314.199	341.776	-3.519	-0.246
314.399	343.779	-3.472	-0.203
314.599	345.823	-3.461	-0.228
314.799	347.856	-3.485	-0.245
314.999	349.854	-3.477	-0.220
315.199	351.947	-3.445	-0.220
315.399	353.912	-3.461	-0.238
315.499	355.039	-3.456	-0.224
315.699	357.033	-3.450	-0.222
315.899	359.011	-3.438	-0.236
316.099	361.035	-3.455	-0.226
316.299	363.044	-3.439	-0.232
316.399	364.154	-3.413	-0.202
316.600	366.256	-3.438	-0.254
316.799	368.264	-3.441	-0.231
316.999	370.247	-3.423	-0.228
317.199	372.182	-3.415	-0.229
317.299	373.311	-3.416	-0.251
317.499	375.374	-3.428	-0.237
317.700	377.302	-3.372	-0.208
317.899	379.300	-3.403	-0.251
317.999	380.452	-3.411	-0.247
318.199	382.353	-3.379	-0.222
318.299	383.481	-3.349	-0.223
318.499	385.510	-3.362	-0.247
318.700	387.545	-3.384	-0.241
318.899	389.511	-3.344	-0.218
319.099	390.903	-3.354	-0.249
319.299	391.489	-3.347	-0.241
319.499	391.506	-3.343	-0.233
580.399	0.100	-4.923	0.586
580.599	0.255	-4.903	0.603
580.800	1.196	-4.897	0.581
581.000	2.874	-4.900	0.561
581.200	5.030	-4.922	0.592
581.399	6.934	-4.922	0.586
581.600	8.949	-4.899	0.606
581.800	10.994	-4.916	0.580
582.000	13.048	-4.903	0.572
582.199	15.027	-4.922	0.575
582.400	17.054	-4.908	0.601
582.600	19.251	-4.880	0.604
582.800	21.215	-4.908	0.574
583.000	23.306	-4.915	0.566
583.200	25.287	-4.913	0.593
583.399	27.395	-4.906	0.575
583.600	29.312	-4.898	0.572
583.800	31.438	-4.909	0.557
584.000	33.515	-4.923	0.547
584.200	35.499	-4.703	0.341
584.400	37.443	-4.544	0.101
584.600	39.529	-4.511	0.014
584.800	41.518	-4.499	0.035
585.000	43.694	-4.477	0.004
585.200	45.601	-4.400	0.028
585.400	47.679	-4.403	-0.064
585.599	49.651	-4.378	-0.022
585.799	51.702	-4.372	-0.065
586.000	53.699	-4.322	-0.016
586.199	55.728	-4.305	-0.062
586.400	57.771	-4.298	-0.090
586.600	59.900	-4.312	-0.116
586.800	61.982	-4.285	-0.098
587.000	63.994	-4.278	-0.109
587.200	65.974	-4.249	-0.134
587.400	68.028	-4.258	-0.145
587.599	70.032	-4.251	-0.158
587.800	72.045	-4.228	-0.141
588.000	74.064	-4.225	-0.173
588.200	76.050	-4.214	-0.188
588.299	77.213	-4.201	-0.174
588.500	79.197	-4.222	-0.199
588.700	81.173	-4.209	-0.180
588.900	83.252	-4.175	-0.148
589.099	85.255	-4.194	-0.168
589.300	87.425	-4.176	-0.146
589.500	89.363	-4.197	-0.170
589.699	91.363	-4.155	-0.148
589.900	93.417	-4.167	-0.165
590.100	95.464	-4.152	-0.161
590.300	97.468	-4.168	-0.134
590.500	99.479	-4.130	-0.136
590.700	101.516	-4.126	-0.145
590.900	103.642	-4.148	-0.163
591.100	105.721	-4.136	-0.136
591.300	107.700	-4.118	-0.108
591.500	109.633	-4.111	-0.136
591.700	111.729	-4.108	-0.145
591.900	113.832	-4.113	-0.123
592.099	115.899	-4.101	-0.118
592.300	117.867	-4.101	-0.129
