TimeSec	Probe1mm	ConductivityP1V	TemperatureP1V
646.921	266.098	-0.348	-0.256
647.021	267.215	-0.342	-0.232
647.221	269.232	-0.320	-0.223
647.422	271.190	-0.320	-0.218
647.621	273.189	-0.272	-0.226
647.821	275.346	-0.273	-0.256
648.021	277.277	-0.245	-0.239
648.222	279.343	-0.287	-0.287
648.421	281.346	-0.259	-0.250
648.521	282.484	-0.271	-0.263
648.722	284.405	-0.256	-0.236
648.921	286.509	-0.227	-0.226
649.121	288.428	-0.225	-0.240
649.321	290.474	-0.179	-0.244
649.521	292.598	-0.182	-0.255
649.721	294.675	-0.207	-0.287
649.921	296.642	-0.201	-0.252
650.121	298.802	-0.213	-0.265
650.321	300.667	-0.143	-0.215
650.521	302.791	-0.169	-0.251
650.722	304.756	-0.094	-0.225
650.921	306.824	-0.134	-0.266
651.121	308.931	-0.112	-0.254
651.321	310.927	-0.135	-0.294
651.522	312.894	-0.115	-0.242
651.721	314.891	-0.125	-0.255
651.921	317.075	-0.069	-0.215
652.121	319.005	-0.065	-0.249
652.321	321.105	-0.044	-0.249
652.521	323.074	-0.044	-0.271
652.722	325.050	-0.085	-0.273
652.921	327.169	-0.065	-0.258
653.121	329.178	-0.047	-0.246
653.321	331.217	-0.029	-0.232
653.521	333.282	-0.022	-0.244
653.721	335.274	0.005	-0.261
653.921	337.295	0.000	-0.273
654.121	339.334	-0.002	-0.287
654.321	341.337	-0.039	-0.288
654.521	343.555	-0.013	-0.260
654.721	345.558	0.004	-0.231
654.921	347.629	0.050	-0.251
655.121	349.535	0.008	-0.270
655.321	351.509	0.045	-0.286
655.521	353.699	0.031	-0.284
655.721	355.668	0.028	-0.286
655.921	357.623	0.007	-0.269
656.121	359.694	0.054	-0.242
656.321	361.683	0.065	-0.243
656.421	362.840	0.093	-0.257
656.621	364.745	0.094	-0.269
656.821	366.767	0.088	-0.273
657.021	368.964	0.087	-0.290
657.221	370.975	0.085	-0.261
657.421	372.973	0.057	-0.284
657.621	375.080	0.088	-0.258
657.821	377.068	0.096	-0.247
658.021	379.087	0.145	-0.242
658.221	381.166	0.135	-0.277
658.421	383.167	0.141	-0.293
658.621	385.140	0.130	-0.276
658.821	387.197	0.103	-0.300
659.021	389.212	0.161	-0.249
659.221	390.703	0.157	-0.262
659.421	391.436	0.207	-0.259
659.621	391.506	0.209	-0.269
921.721	11.674	-4.768	0.403
921.922	11.933	-4.783	0.405
922.122	12.981	-4.794	0.390
922.322	14.724	-4.781	0.410
922.422	15.872	-4.829	0.392
922.622	17.878	-4.783	0.400
922.822	19.860	-4.814	0.414
923.022	21.844	-4.803	0.390
923.222	23.870	-4.802	0.429
923.422	26.014	-4.811	0.383
923.622	28.063	-4.795	0.430
923.821	30.055	-4.804	0.416
924.022	32.121	-4.771	0.414
924.222	34.034	-4.792	0.404
924.322	35.154	-4.792	0.381
924.521	37.180	-1.647	0.088
924.721	39.183	-1.535	0.044
924.922	41.285	-1.516	0.013
925.122	43.380	-1.520	-0.004
925.321	45.356	-1.495	-0.021
925.522	47.317	-1.485	-0.010
925.721	49.271	-1.487	-0.058
925.821	50.346	-1.432	-0.028
926.022	52.343	-1.421	-0.020
926.222	54.530	-1.440	-0.083
926.422	56.461	-1.384	-0.046
926.622	58.517	-1.404	-0.086
926.822	60.498	-1.350	-0.063
926.921	61.612	-1.383	-0.075
927.122	63.622	-1.340	-0.086
927.321	65.628	-1.309	-0.087
927.522	67.665	-1.307	-0.105
927.721	69.754	-1.289	-0.092
927.922	71.733	-1.275	-0.122
928.122	73.868	-1.249	-0.135
928.322	75.881	-1.243	-0.117
928.522	77.823	-1.227	-0.152
928.722	79.907	-1.207	-0.125
928.921	81.874	-1.196	-0.150
929.022	83.024	-1.209	-0.148
929.222	84.924	-1.193	-0.084
929.422	87.060	-1.190	-0.092
